,tx_hash,gas_used,victim_balance_delta,attacker_balance_delta,call_stack_depth,label
0,0x3c2d8496c1dd4b51d49b8f22c8c6546622edc5c2e91b98bdc9de43f4a56f54c5,66939,0,0,11.191176470588236,safe
1,0x6d7e6f692d01f64d850d340b3b1e5924289e08ffd259b75de5ce37222fd613f4,295051,-9500000000000000000,100000000000000000,1.3346774193548387,vul
2,0xe00b828b0f9b772af1e6f64d1024f48cf480168cb3e6dbf96fb89af34e808477,66939,0,0,1.6440129449838188,safe
3,0x0c1eae6fa392ebd884084d90eb2636797c6d4189338aefc3f32f00062161019c,102681,-1900000000000000000,20000000000000000,1.3346774193548387,safe
4,0x36ea0d03f25114e4c7eadeacc0286033577064c8be751bfc6176943b40487960,415370,1000000000000000000,-1000000000000000000,12.85693889206168,safe
5,0x39d16ef4c1e31cda936b1b4f8143c47fe0e6572ada8505f632f955f6d65f0600,1651837,-10000000000000000000,10000000000000000000,2.452469135802469,vul
6,0xd11580a359511f1922dadf4a1b1e0a86a1a9bd2cb699922bfa832b79cfbb7ab4,297778,-4000000000000000000,4000000000000000000,3.278016399843811,vul
7,0x60fe898ec9308be4e5db6ca2871eaae1c03eca62e2a79890e577f336937161b1,512545,0,0,12.825494648070062,safe
8,0xe2ed1162c9fb037a3039f6a21649df18a70a215e78b9cd6e713d70b9b313de53,854220,-3000000000000000000,3000000000000000000,1.5085574572127138,vul
9,0xf42050e1e6289dbe52895840ae81ae07cd9d3d8bde1de9e8014c676d9c546e2c,117977,2000000000000000000,-2000000000000000000,6.079525222551929,safe
10,0x9af1dce89fc55600c11619fdff69ad2146b7b5ee12bc81e8b93f5d258712e90a,396149,1000000000000000000,-1000000000000000000,3.321097372488408,safe
11,0x1f0d6a4cea264d109587fcf7c2b014f5ea8258597cc77f70d20ae077cd5a408b,493504,0,0,2.4660012476606363,safe
12,0x7f7cbd665320fa304ea7b379eb7d70133f9a0d46d940ae5f2c6ec77c7af3072c,57471,-1000000000000000000,1000000000000000000,5.503775620280475,safe
13,0xde66f090fa162fd58b5ffd927bdeeef568289b439e192e7dd208472aa101d3d0,121949,-5000000000000000000,5000000000000000000,1.510843373493976,vul
14,0xe35fadfc781afab57116b5291cbe5df7193f87ec61b836f3baf677ea587c466c,86499,-500000000000000000,500000000000000000,8.52598225602028,safe
15,0x8a3cd881ef51afaf8c396496d1fa1d1360451819be4b502df81b4a87695e7c47,159137,-6100000000000000000,6100000000000000000,2.4619686800894853,vul
16,0x6d81e77ffce40bf27acbda617cc075ffa0b3b4ab479c420c58ad8c0dd72eead4,197674,-11000000000000000000,11000000000000000000,1.5550755939524838,vul
17,0xcc1f58f8f963f7176e50a2708a4fd852c2fc74fec74d346d0d72138de1cb1fc6,57662,-500000000000000000,500000000000000000,11.372674595913388,safe
18,0xfe7a9b6725310e37529e100bc98727107168e7bb054502ad8023efc5d041edef,111739,-1000000000000000000,1000000000000000000,4.384615384615385,safe
