from,to,value,gas,gas_used,input,tx_hash,fuzz_string,victim_balance_before_tx,victim_balance_after_tx,attacker_balance_before_tx,attacker_balance_after_tx
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0xCbEfC0C011B3ceb41ff50Ce23BabDC57b1082220,0,3000000,601883,0x8f088f92000000000000000000000000a429bddbe78d93074db54649262ae13512351d9e,0x19c998246a52830b5c800573ba9a583704e41e8ea594973715e172ed65dc8489,"vulnerables.sol,vul,50",10000000000000000000,65000000000000000000,0,35000000000000000000
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0xcfd965e4dA99b7152B99cf1Ca0d4C418b27EDf0f,0,3000000,144369,0x8f088f9200000000000000000000000017ed270d7a639fd25af15e4ee30ae51fefcd0c62,0x4598726c89af9094eb01d2957885f584d31c252b8e5cfed1f1e9dbc5ee54b4d9,"safes.sol,safe,53",10000000000000000000,10000000000000000000,0,0
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x29eD04b9296108D0349F0850577940cd887573d1,0,3000000,172953,0x8f088f92000000000000000000000000f5f598dc9c9a85a05c8d72905fd710df549485da,0xdce250f638907077c227a863afd0761ff2b843b24e3703d83482abfdb22194e0,"safes.sol,safe,52",100000000000000000000,10000000000000000000,0,0
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x68A83D23daE2A560748162E0b8aefcd5ddBdEE46,0,3000000,342346,0x8f088f9200000000000000000000000093d435c9d08b7d72c4abcbd7669a8b63c93a4c43,0x37572d633108ed002a67bd3fc0741c5a8894cd95d3d1a6009ca71b2549fb2891,"vulnerables.sol,vul,55",100000000000000000000,78000000000000000000,0,22000000000000000000
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0xbDeeC49389D20DF280D4668aDf60cA78dDd4c81f,0,3000000,342346,0x8f088f920000000000000000000000002a09a41f2308779536a06dc9f08ed898f0f0ebcc,0x5e837c26c28b577ee44883d1e76b81285ba699588920a44a82d2f159c45631c6,"vulnerables.sol,vul,54",10000000000000000000,56000000000000000000,0,44000000000000000000
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0xEa2d9D928dB4653B8C25727De77a378b71CaaC15,0,3000000,144369,0x8f088f92000000000000000000000000c77f26b83ff285322531b2ebb43a9d78c2928cca,0xe993460cba8752547816257129920fd7fa3248120aae75383261a0988cd96aed,"safes.sol,safe,57",100000000000000000000,10000000000000000000,0,0
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0x1648BABF85D9F514ac5AC9ebA397688d99C133f4,0,3000000,382496,0x8f088f9200000000000000000000000074e6e0d588bfbd9dbcccaf2c17f8eb27ea0f4434,0x88a85263b6683d97e10e36a4059b7874a7df16008a4d71bd3a4e910951fe16be,"vulnerables.sol,vul,56",10000000000000000000,61000000000000000000,0,39000000000000000000
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0xB4EFF63A434eF6C40Df0eF12A2b161820aa5e0C2,0,3000000,144369,0x8f088f920000000000000000000000001fdf429cd67409fbba1aa781e1272c9301662e2b,0x92a04b5d1e212dd8d98ef535f945d9f6bde85b93c8cb7cc48e5428fd159f7978,"safes.sol,safe,59",10000000000000000000,10000000000000000000,0,0
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0x4acF3C5baef01Bc9bBd6d69D8b5c1Eec5F925D15,0,3000000,172953,0x8f088f9200000000000000000000000058370603108002cf871dea3c0df120a28c4b07a7,0x2ceddc355d11725f136f811e231eb3885410c5483c00d2698d80ccbc9af2a361,"safes.sol,safe,58",10000000000000000000,10000000000000000000,0,0
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0x21d12bCB552a7004a2e2Aa811Ee8B8b062f30084,0,3000000,144369,0x8f088f92000000000000000000000000867f4749ec2a9e053e7666b5ad3c980947f3434a,0xd85dee5606fb1ee32c520d1a7fd0cdc7bba309b2147f5c0328a099b4a152b2f5,"safes.sol,safe,61",100000000000000000000,10000000000000000000,0,0
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0x9Be6Ee4e6775531f6fb1310E1764A2f56f2c344b,0,3000000,613787,0x8f088f9200000000000000000000000079458c8f76075ef82a8eaa03ca1b95fe2c8c7c61,0x92b8bbb419e3711d0f065ffc970d153de0425a3c78162446a1b9214e521ceac6,"vulnerables.sol,vul,60",100000000000000000000,70000000000000000000,0,30000000000000000000
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0xbea2D1de322E909956ea94698A6Af087b0E6D99d,0,3000000,437345,0x8f088f92000000000000000000000000b4dce5b27ee25ebe7a089f6bb47b48167f065c47,0x53205c3f00676f9ddc1c756ff03c1d92293d031a0ff184a248578d3e57405976,"vulnerables.sol,vul,63",100000000000000000000,95000000000000000000,0,5000000000000000000
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0xD87634E85422740cB6EBb205483B6B03B5BBe647,0,3000000,378635,0x8f088f9200000000000000000000000072ae183678d21047eb29c88296f4829736279d9d,0xf7a9013947f695f1537fc6a63ef64258f8dcb9d2bc1afcd0ccaf06b3509ceea5,"vulnerables.sol,vul,62",10000000000000000000,91000000000000000000,0,9000000000000000000
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0x602e852f945783C62C2E2324e5Fd532ab423391e,0,3000000,225983,0x8f088f9200000000000000000000000096fa6fc8e4d640427a6a6b5f5822a1a882a9985c,0x805f8bb31a97b5aa41edca994601defb7351d3538288d03ec7b3f9977b59c593,"safes.sol,safe,65",10000000000000000000,5500000000000000000,0,4500000000000000000
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x132c0F443A6493F2E450A632Bd9291f72f2da01f,0,3000000,144369,0x8f088f920000000000000000000000009362bcde6ed07f07f7a19041c69e359bedaba367,0xa72f43d10012cbb1afdef9f06bd4f8c637ff41fc0208a155d84373256f3415af,"safes.sol,safe,64",100000000000000000000,10000000000000000000,0,0
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0xef953EB52c5cbaaC770564C7f6c36483be52B894,0,3000000,211046,0x8f088f92000000000000000000000000fb7b9192b1ee17f9629e0912d9210c88b1425a95,0x20e250fda0702768c0d452c1c26b1fd3c0014e214cc7d25bd2d9f1820c88c827,"vulnerables.sol,vul,67",100000000000000000000,100000000000000000000,0,0
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0xCBf9846878659aF5DB69CBf541003E2e43F3998d,0,3000000,302196,0x8f088f9200000000000000000000000033e64d7c6a84eca277742208eaeb1fe40e3476db,0xee509425deac1a8e9aa74b75429791c52a858374948a9e3ba7ff72af15b8644e,"vulnerables.sol,vul,66",100000000000000000000,91000000000000000000,0,9000000000000000000
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x25FB3AaDc11DF708c4dD640E04774aF21b8d2ada,0,3000000,382496,0x8f088f92000000000000000000000000bd7eef572bf66cbde31d8a26431a3f469c5bec1d,0x065a8c0e9d5563c5f05eb9038c9883bafa57d823bd57e5f95d2ea594e332a6d2,"vulnerables.sol,vul,69",10000000000000000000,61000000000000000000,0,39000000000000000000
